File Name,Number of Cities,Constructive Heuristic,Perturbative Heuristic,Initial Distance,Optimized Distance,Initial Time (ms),Final Time (ms)
a280.tsp,280,nearest_neighbour,two_opt,3323.32155303267,2934.1658226474487,15.731096267700195,62.4852180480957
a280.tsp,280,nearest_neighbour,or_opt,3323.32155303267,3284.840785782717,15.731096267700195,1479.8390865325928
a280.tsp,280,nearest_neighbour,node_swap,3323.32155303267,3262.8257679535213,15.731096267700195,4089.677333831787
a280.tsp,280,insertion_heuristic,two_opt,3169.2900489054937,2963.5084078132777,3577.4316787719727,53.534746170043945
a280.tsp,280,insertion_heuristic,or_opt,3169.2900489054937,3167.8639908955993,3577.4316787719727,1261.4467144012451
a280.tsp,280,insertion_heuristic,node_swap,3169.2900489054937,3106.336511132585,3577.4316787719727,4412.050008773804
a280.tsp,280,greedy_heuristic,two_opt,2960.478380807005,2718.2953266623012,32.35650062561035,92.69452095031738
a280.tsp,280,greedy_heuristic,or_opt,2960.478380807005,2914.146160007656,32.35650062561035,187.85929679870605
a280.tsp,280,greedy_heuristic,node_swap,2960.478380807005,2921.9055078556585,32.35650062561035,4659.266233444214
berlin52.tsp,52,nearest_neighbour,two_opt,9585.904972436037,8397.906775445199,0.0,0.0
berlin52.tsp,52,nearest_neighbour,or_opt,9585.904972436037,9492.209462074396,0.0,17.69852638244629
berlin52.tsp,52,nearest_neighbour,node_swap,9585.904972436037,9151.658749133552,0.0,0.0
berlin52.tsp,52,insertion_heuristic,two_opt,8976.377727290977,8729.199466725675,25.33555030822754,0.0
berlin52.tsp,52,insertion_heuristic,or_opt,8976.377727290977,8943.90960184819,25.33555030822754,6.184577941894531
berlin52.tsp,52,insertion_heuristic,node_swap,8976.377727290977,8926.284227892742,25.33555030822754,0.0
berlin52.tsp,52,greedy_heuristic,two_opt,9954.06269813768,8358.696381624939,0.0,9.624719619750977
berlin52.tsp,52,greedy_heuristic,or_opt,9954.06269813768,9509.782305725188,0.0,10.457515716552734
berlin52.tsp,52,greedy_heuristic,node_swap,9954.06269813768,9150.361379516195,0.0,28.95832061767578
bier127.tsp,127,nearest_neighbour,two_opt,142641.98792805863,125338.40352367733,0.0,16.262054443359375
bier127.tsp,127,nearest_neighbour,or_opt,142641.98792805863,141691.1356493126,0.0,109.77339744567871
bier127.tsp,127,nearest_neighbour,node_swap,142641.98792805863,136854.53942047837,0.0,0.0
bier127.tsp,127,insertion_heuristic,two_opt,140160.77107152785,135459.88043381707,363.1434440612793,0.0
bier127.tsp,127,insertion_heuristic,or_opt,140160.77107152785,140082.1525972338,363.1434440612793,168.53952407836914
bier127.tsp,127,insertion_heuristic,node_swap,140160.77107152785,136734.5972848393,363.1434440612793,16.32094383239746
bier127.tsp,127,greedy_heuristic,two_opt,141351.0894531028,124195.41350023964,0.0,24.15943145751953
bier127.tsp,127,greedy_heuristic,or_opt,141351.0894531028,134877.58836625516,0.0,111.70196533203125
bier127.tsp,127,greedy_heuristic,node_swap,141351.0894531028,131466.55951269643,0.0,381.5600872039795
ch130.tsp,130,nearest_neighbour,two_opt,8468.483304123754,6640.748431652276,8.320331573486328,24.794340133666992
ch130.tsp,130,nearest_neighbour,or_opt,8468.483304123754,8254.92646162043,8.320331573486328,158.17737579345703
ch130.tsp,130,nearest_neighbour,node_swap,8468.483304123754,8165.629218424527,8.320331573486328,7.15184211730957
ch130.tsp,130,insertion_heuristic,two_opt,7250.952632907532,6690.731678915203,426.4974594116211,6.578683853149414
ch130.tsp,130,insertion_heuristic,or_opt,7250.952632907532,7219.225991756291,426.4974594116211,110.54468154907227
ch130.tsp,130,insertion_heuristic,node_swap,7250.952632907532,6681.706485516955,426.4974594116211,12.311458587646484
ch130.tsp,130,greedy_heuristic,two_opt,7844.935432532651,6424.594337811632,7.661581039428711,16.243457794189453
ch130.tsp,130,greedy_heuristic,or_opt,7844.935432532651,7475.22801286648,7.661581039428711,81.146240234375
ch130.tsp,130,greedy_heuristic,node_swap,7844.935432532651,7684.88954964701,7.661581039428711,16.468524932861328
ch150.tsp,150,nearest_neighbour,two_opt,8045.9847142634135,7100.817157044239,11.103153228759766,16.587257385253906
ch150.tsp,150,nearest_neighbour,or_opt,8045.9847142634135,7830.738714717302,11.103153228759766,138.89408111572266
ch150.tsp,150,nearest_neighbour,node_swap,8045.9847142634135,7912.807841526096,11.103153228759766,16.74938201904297
ch150.tsp,150,insertion_heuristic,two_opt,7989.065305096282,7085.679992733951,623.1811046600342,0.0
ch150.tsp,150,insertion_heuristic,or_opt,7989.065305096282,7948.626016888145,623.1811046600342,119.65417861938477
ch150.tsp,150,insertion_heuristic,node_swap,7989.065305096282,7630.945044778462,623.1811046600342,737.1928691864014
ch150.tsp,150,greedy_heuristic,two_opt,7743.035625011758,7154.79069265686,17.081022262573242,16.592741012573242
